cell_index,cell_in_module,module_in_pack
1,35,1
2,36,1
3,37,1
4,38,1
5,39,1
6,40,1
7,41,1
8,42,1
9,43,1
10,44,1
11,45,1
12,46,1
13,47,1
14,48,1
15,49,1
16,50,1
17,16,2
18,15,2
19,14,2
20,13,2
21,12,2
22,11,2
23,10,2
24,9,2
25,8,2
26,7,2
27,6,2
28,5,2
29,4,2
30,3,2
31,2,2
32,1,2
33,18,2
34,35,2
35,36,2
36,19,2
37,20,2
38,37,2
39,38,2
40,21,2
41,22,2
42,39,2
43,40,2
44,23,2
45,24,2
46,41,2
47,42,2
48,25,2
49,26,2
50,43,2
51,44,2
52,27,2
53,28,2
54,45,2
55,46,2
56,29,2
57,30,2
58,47,2
59,48,2
60,31,2
61,32,2
62,49,2
63,50,2
64,33,2
65,33,1
66,16,1
67,15,1
68,32,1
69,31,1
70,14,1
71,13,1
72,30,1
73,29,1
74,12,1
75,11,1
76,28,1
77,27,1
78,10,1
79,9,1
80,26,1
81,25,1
82,8,1
83,7,1
84,24,1
85,23,1
86,6,1
87,5,1
88,22,1
89,21,1
90,4,1
91,3,1
92,20,1
93,19,1
94,2,1
95,1,1
96,18,1
